Semester,Department,Course_Name,,Textbook_Name
,,,,
S3,ECE,MAT201,,
S3,ECE,ECT 201,,"Ben G. Streetman and Sanjay Kumar Banerjee, Solid State Electronic Devices, Pearson 6/e, 2010 (Modules I, II and III)"
S3,ECE,ECT 201,,"Sung Mo Kang, CMOS Digital Integrated Circuits: Analysis and Design, McGraw-Hill, Third Ed., 2002 (Modules IV and V)"
S3,ECE,ECT 203,,"Mano M.M., Ciletti M.D., “Digital Design”, Pearson India, 4th Edition. 2006"
S3,ECE,ECT 203,,"D.V. Hall, “Digital Circuits and Systems”, Tata McGraw Hill, 1989"
S3,ECE,ECT 203,,"S. Brown, Z. Vranesic, “Fundamentals of Digital Logic with Verilog Design”, McGraw Hill"
S3,ECE,ECT 205,,"Edminister, “Electric Circuits – Schaum’s Outline Series”, McGraw-Hill, 2009."
S3,ECE,ECT 205,,"W. Hayt, J. Kemmerly, J. Phillips, S. Durbin, “Engineering Circuit Analysis,” McGraw Hill."
S3,ECE,ECT 205,,"K. S. Suresh Kumar, “Electric Circuits and Networks”, Pearson, 2008."
S3,ECE,EST200,,
S3,ECE,HUT200,,
S3,ECE,MCN201,,
S4,ECE,MAT 204,,
S4,ECE,ECT 202,,"Robert Boylestad and L Nashelsky, “Electronic Devices and Circuit Theory”, 11/e Pearson, 2015."
S4,ECE,ECT 202,,"Sedra A. S. and K. C. Smith, “Microelectronic Circuits”, 6/e, Oxford University Press, 2013."
S4,ECE,ECT 204,,"Alan V. Oppenheim and Alan Willsky, Signals and Systems, PHI, 2/e, 2009"
S4,ECE,ECT 204,,"Simon Haykin, Signals & Systems, John Wiley, 2/e, 2003"
S4,ECE,ECT 206,,"Mano M M, Computer System Architecture, 3rd Ed, Prentice Hall of India."
S4,ECE,ECT 206,,"Computer organization and design: The Hardware/Software interface/David A. Patterson, John L. Hennessy. — 5th ed."
S4,ECE,ECT 206,,"Computer Organisation V. Carl Hamacher, Zvonko G. Vranesic, Safwat G.Zaky."
S4,ECE,MCN202,,
S5,ECE,ECT 301,,"Roy D. C. and S. B. Jain, Linear Integrated Circuits, New Age International, 3/e, 2010"
S5,ECE,ECT 303,,"Proakis J. G. and Manolakis D. G., Digital Signal Processing, 4/e, Pearson Education, 2007"
S5,ECE,ECT 303,,"Alan V Oppenheim, Ronald W. Schafer ,Discrete-Time Signal Processing, 3rd Edition , Pearson ,2010"
S5,ECE,ECT 303,,"Mitra S. K., Digital Signal Processing: A Computer Based Approach, 4/e McGraw Hill (India) 2014"
S5,ECE,ECT 305,,"“Principles of Digital Communication,” R. Gallager, Oxford University Press"
S5,ECE,ECT 305,,"“Digital Communication”, John G Proakis, Wiley."
S5,ECE,ECT 307,,"Farid Golnaraghi, Benjamin C. Kuo, Automatic Control Systems, 9/e, Wiley India"
S5,ECE,ECT 307,,"I.J. Nagarath, M.Gopal: Control Systems Engineering (5th-Edition) ––New Age International Pub. Co., 2007."
S5,ECE,ECT 307,,"Ogata K., Discrete-time Control Systems, 2/e, Pearson Education."
S5,ECE,HUT300,,
S5,ECE,HUT310,,
S5,ECE,MCN301,,
S6,ECE,ECT 302,,"John D. Kraus, Electromagnetics, 5/e, TMH, 2010."
S6,ECE,ECT 302,,"Mathew N O Sadiku, Elements of Electromagnetics, Oxford University Press, 6/e, 2014."
S6,ECE,ECT 302,,"William, H. Hayt, and John A. Buck. Engineering Electromagnetics. McGraw-Hill, 8/e McGraw-Hill, 2014."
S6,ECE,ECT 304,,"Sung –Mo Kang & Yusuf Leblebici, CMOS Digital Integrated Circuits- Analysis & Design, McGraw-Hill, Third Ed., 2003"
S6,ECE,ECT 304,,"S.M. SZE, VLSI Technology, 2/e, Indian Edition, McGraw-Hill,2003"
S6,ECE,ECT 304,,"Wayne Wolf ,Modern VLSI design, Third Edition, Pearson Education,2002."
S6,ECE,ECT 306,,"“Elements of Information Theory”, Joy A Thomas, Thomas M Cover, Wiley-Interscience."
S6,ECE,ECT 306,,"“Information Theory, Inference and Learning Algorithms”, David JC McKay, Cambridge University Press"
S6,ECE,ECT 306,,"“Principles of digital communication”, RG Gallager, Cambridge University Press"
S6,ECE,ECTXXX,,
S6,ECE,ECT 308,,
S7,ECE,ECT 401,,"John D. Krauss, Antennas for all Applications, 3/e, TMH."
S7,ECE,ECT 401,,"Balanis, Antenna Theory and Design, 3/e, Wiley Publications."
S7,ECE,ECT 401,,"K D Prasad, Antenna and Wave Propagation, Satyaprakash Publications"
S7,ECE,ECTXXX,,
S7,ECE,ECTXXX,,
S7,ECE,MCN401,,
S8,ECE,ECT 402,,"Andrea Goldsmith, Wireless Communications, Cambridge University Press, 2005"
S8,ECE,ECT 402,,"Theodore S. Rappaport, Wireless communication: Principles and Practice, 2/e, Pearson Education, 1990"
S8,ECE,ECT 402,,"Aditya Jagannatham, Principles of Modern Wireless Communication Systems, Mc Graw Hill, 2017."
S8,ECE,ECTXXX,,
S8,ECE,ECTXXX,,
S8,ECE,ECTXXX,,
,,,,
S3,CS,MAT 203,,"Discrete and Combinatorial Mathematics (An Applied Introduction), Ralph P Grimaldi, B V Ramana , 5th Edition, Pearson"
S3,CS,CST 201,,"Ellis Horowitz, Sartaj Sahni and Susan Anderson-Freed, Universities Press, Fundamentals of Data Structures in C"
S3,CS,CST 203,,"M. Morris Mano, Digital Logic & Computer Design, 4/e, Pearson Education, 2013"
S3,CS,CST 203,,"Thomas L Floyd, Digital Fundamentals, 10/e, Pearson Education, 2009."
S3,CS,CST 203,,"M. Morris Mano, Computer System Architecture, 3/e, Pearson Education, 2007."
S3,CS,CST 205,,"Herbert Schildt, Java: The Complete Reference, 8/e, Tata McGraw Hill, 2011."
S3,CS,CST 205,,"Rajib Mall, Fundamentals of Software Engineering, 4th edition, PHI, 2014."
S3,CS,CST 205,,"Paul Deitel, Harvey Deitel, Java How to Program, Early Objects 11th Edition, Pearson, 2018."
S3,CS,EST 200,,
S3,CS,HUT 200,,
S3,CS,MCN 201,,
S4,CS,MAT 206,,"Narsingh Deo, Graph theory, PHI,1979"
S4,CS,CST 202,,"Hamacher C., Z. Vranesic and S. Zaky, Computer Organization ,5/e, McGraw Hill, 2011"
S4,CS,CST 202,,"Mano M. M., Digital Logic & Computer Design, PHI, 2004"
S4,CS,CST 202,,"KaiHwang, Faye Alye Briggs, Computer architecture and parallel processing McGrawHill, 1984"
S4,CS,CST 204,,"Elmasri R. and S. Navathe, Database Systems: Models, Languages, Design and Application Programming, Pearson Education, 2013."
S4,CS,CST 204,,"Sliberschatz A., H. F. Korth and S. Sudarshan, Database System Concepts, 6/e, McGraw Hill, 2011."
S4,CS,CST 206,,"Abraham Silberschatz, Peter Baer Galvin, Greg Gagne, ' Operating System Concepts' 9th Edition, Wiley India 2015."
S4,CS,MCN 202,,
S5,CS,CST 301,,"Dexter C. Kozen, Automata and Computability, Springer (1999)"
S5,CS,CST 303,,"Andrew S. Tanenbaum, Computer Networks, 4/e, PHI (Prentice Hall India)."
S5,CS,CST 303,,"Behrouz A Forouzan, Data Communication and Networking, 4/e, Tata McGraw Hill"
S5,CS,CST 305,,"Leland L. Beck, System Software: An Introduction to Systems Programming, 3/E, Pearson Education Asia"
S5,CS,CST 307,,"Bhurchandi and Ray, Advanced Microprocessors and Peripherals, Third Edition McGraw Hill."
S5,CS,CST 307,,"Raj Kamal, Microcontrollers: Architecture, Programming, Interfacing and System Design, Pearson Education."
S5,CS,CST 307,,"Ramesh Gaonkar, Microprocessor Architecture, Programming, and Applications with the 8085, Penram International Publishing Pvt. Ltd."
S5,CS,CST 309,,"Book 1 - Ian Sommerville, Software Engineering, Pearson Education, Tenth edition, 2015."
S5,CS,CST 309,,"Book 2 - Roger S. Pressman, Software Engineering : A practitioner’s approach, McGraw Hill publication, Eighth edition, 2014"
S5,CS,CST 309,,"Book 3 - Ian Sommerville, Engineering Software Products: An Introduction to Modern Software Engineering, Pearson Education, First Edition, 2020."
S5,CS,MCN 301,,
S6,CS,CST 302,,"Aho A.V., Ravi Sethi and D. Ullman. Compilers – Principles Techniques and Tools, Addison Wesley, 2006."
S6,CS,CST 304,,"Donald Hearn and M. Pauline Baker, Computer Graphics, PHI, 2e, 1996"
S6,CS,CST 304,,"Rafael C. Gonzalez and Richard E. Woods, Digital Image Processing. Pearson, 4e, 2017"
S6,CS,CST 306,,"T.H.Cormen, C.E.Leiserson, R.L.Rivest, C. Stein, Introduction to Algorithms, 2nd Edition, Prentice-Hall India (2001)"
S6,CS,CST 306,,"Ellis Horowitz, Sartaj Sahni, Sanguthevar Rajasekaran, “Fundamentals of Computer Algorithms”, 2nd Edition, Orient Longman Universities Press (2008)"
S6,CS,CST 306,,"Sara Baase and Allen Van Gelder ―Computer Algorithms, Introduction to Design and Analysis, 3rd Edition, Pearson Education (2009)"
S6,CS,HUT 300,,
S7,CS,CST 401,,"Stuart Russell and Peter Norvig. Artificial Intelligence: A Modern Approach, 3rd Edition. Prentice Hall."
S7,CS,MCN 401,,
S8,CS,CST 402,,"Ajay D. Kshemkalyani and Mukesh Singhal, Distributed Computing: Principles, Algorithms, and Systems, Cambridge University Press, 2011."
,,,,
S3,EEE,MAT201,,
S3,EEE,EET201,,"Joseph A. Edminister and MahmoodNahvi, ""Theory and Problems in Electric circuits"", McGraw Hill, 5th Edition, 2010."
S3,EEE,EET201,,"Ravish R. Singh, ""Network Analysis and Synthesis"", McGraw-Hill Education, 2013"
S3,EEE,EET203,,"Sawhney A.K., A course in Electrical and Electronic Measurements & instrumentation, DhanpatRai."
S3,EEE,EET203,,"J. B. Gupta, A course in Electrical & Electronic Measurement & Instrumentation., S K Kataria& Sons"
S3,EEE,EET203,,"Kalsi H. S., Electronic Instrumentation, 3/e, Tata McGraw Hill, New Delhi, 2012"
S3,EEE,EET205,,"Bell D. A., Electronic Devices and Circuits, Prentice Hall ofIndia, 2007."
